          DH  INJV           Xt           Mt          XMt          NDH
     0.04611   0.1      0.00000      0.00000      0.00000      0.00000
    -0.00701   1.5      0.00000      0.00000      0.00000      0.00000
     0.03160   1.5      0.00000      0.00000      0.00000      0.00000
     0.10163   1.5      0.00000      0.00000      0.00000      0.00000
     0.06041   1.5      0.00000      0.00000      0.00000      0.00000
     0.03812   1.5      0.00000      0.00000      0.00000      0.00000
     0.06178   1.5      0.00000      0.00000      0.00000      0.00000
     0.02849   1.5      0.00000      0.00000      0.00000      0.00000
    -0.01512   1.5      0.00000      0.00000      0.00000      0.00000
     0.05055   1.5      0.00000      0.00000      0.00000      0.00000
     0.05599   1.5      0.00000      0.00000      0.00000      0.00000
    -0.02701   1.5      0.00000      0.00000      0.00000      0.00000
     0.00082   1.5      0.00000      0.00000      0.00000      0.00000
     0.02953   1.5      0.00000      0.00000      0.00000      0.00000
     0.05114   1.5      0.00000      0.00000      0.00000      0.00000
     0.02490   1.5      0.00000      0.00000      0.00000      0.00000
     0.02843   1.5      0.00000      0.00000      0.00000      0.00000
     0.03408   1.5      0.00000      0.00000      0.00000      0.00000
     0.01386   1.5      0.00000      0.00000      0.00000      0.00000
    -0.00382   1.5      0.00000      0.00000      0.00000      0.00000
     0.01824   1.5      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
