          DH  INJV           Xt           Mt          XMt          NDH
     3.87039   0.1      0.00000      0.00000      0.00000      0.00000
     9.73048   1.5      0.00000      0.00000      0.00000      0.00000
     2.21508   1.5      0.00000      0.00000      0.00000      0.00000
    -0.14927   1.5      0.00000      0.00000      0.00000      0.00000
    -0.92546   1.5      0.00000      0.00000      0.00000      0.00000
    -0.00900   1.5      0.00000      0.00000      0.00000      0.00000
    -0.93579   1.5      0.00000      0.00000      0.00000      0.00000
     0.08811   1.5      0.00000      0.00000      0.00000      0.00000
     1.95901   1.5      0.00000      0.00000      0.00000      0.00000
     0.53790   1.5      0.00000      0.00000      0.00000      0.00000
     1.12681   1.5      0.00000      0.00000      0.00000      0.00000
     0.21489   1.5      0.00000      0.00000      0.00000      0.00000
    -0.36517   1.5      0.00000      0.00000      0.00000      0.00000
    -0.51146   1.5      0.00000      0.00000      0.00000      0.00000
    -0.06592   1.5      0.00000      0.00000      0.00000      0.00000
     0.06692   1.5      0.00000      0.00000      0.00000      0.00000
    -0.01880   1.5      0.00000      0.00000      0.00000      0.00000
    -0.03257   1.5      0.00000      0.00000      0.00000      0.00000
    -0.04508   1.5      0.00000      0.00000      0.00000      0.00000
    -0.00222   1.5      0.00000      0.00000      0.00000      0.00000
     0.00479   1.5      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
