          DH  INJV           Xt           Mt          XMt          NDH
    -0.57963   0.2      0.00000      0.00000      0.00000      0.00000
    -1.48889   3.0      0.00000      0.00000      0.00000      0.00000
    -2.09057   3.0      0.00000      0.00000      0.00000      0.00000
    -2.56111   3.0      0.00000      0.00000      0.00000      0.00000
    -1.95850   3.0      0.00000      0.00000      0.00000      0.00000
    -1.28155   3.0      0.00000      0.00000      0.00000      0.00000
    -1.26038   3.0      0.00000      0.00000      0.00000      0.00000
    -0.63134   3.0      0.00000      0.00000      0.00000      0.00000
     0.58902   3.0      0.00000      0.00000      0.00000      0.00000
     1.32209   3.0      0.00000      0.00000      0.00000      0.00000
     1.75961   3.0      0.00000      0.00000      0.00000      0.00000
        --           0.00000      0.00000 --
