wavelength (nm),G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
370.0,72073.0,71634.0,71003.0,72304.0,72462.0,72121.0,72802.0,72388.0,72014.0,71331.0,71114.0,71198.0,36788.0,36374.0,36454.0,38931.0,38228.0,37913.0,36541.0,38363.0,38838.0,36214.0,33714.0,37573.0
375.0,57443.0,55692.0,54623.0,56054.0,56329.0,55989.0,56345.0,55371.0,57564.0,54759.0,55678.0,53660.0,28731.0,27710.0,27405.0,29630.0,30015.0,28821.0,28083.0,29554.0,30012.0,27514.0,26060.0,28938.0
380.0,45148.0,42815.0,41715.0,42612.0,42252.0,41739.0,42126.0,41978.0,41802.0,40409.0,42009.0,40549.0,22258.0,20232.0,20641.0,21972.0,22050.0,21157.0,20402.0,22188.0,22321.0,20076.0,19455.0,21609.0
385.0,34269.0,31078.0,30098.0,30534.0,30503.0,30468.0,30618.0,30764.0,30667.0,29396.0,29525.0,28807.0,16065.0,15135.0,15118.0,15876.0,16296.0,15383.0,14999.0,15775.0,16174.0,14855.0,13862.0,15548.0
390.0,25911.0,23697.0,22361.0,22172.0,22064.0,22136.0,21674.0,21621.0,22135.0,20944.0,21546.0,20751.0,11898.0,10699.0,10929.0,11267.0,11516.0,11043.0,10495.0,11331.0,11527.0,10699.0,9895.0,10908.0
395.0,21311.0,18700.0,17534.0,17188.0,17158.0,17124.0,16879.0,17399.0,17046.0,16508.0,16389.0,15963.0,9571.0,8673.0,8505.0,8717.0,8883.0,8338.0,8314.0,8969.0,9040.0,8339.0,7617.0,8415.0
400.0,18990.0,16110.0,14542.0,14242.0,13947.0,13785.0,13846.0,13916.0,13713.0,13132.0,13201.0,12765.0,8524.0,7581.0,7338.0,7240.0,7214.0,6782.0,6702.0,7377.0,7484.0,7220.0,6191.0,6703.0
405.0,15803.0,12348.0,11014.0,10723.0,10533.0,10137.0,10078.0,10366.0,10020.0,9793.0,9832.0,9454.0,7128.0,7168.0,5903.0,5418.0,5380.0,5121.0,5038.0,5681.0,6192.0,6305.0,4530.0,4990.0
410.0,14486.0,11983.0,9934.0,9347.0,8981.0,8904.0,8942.0,9719.0,8659.0,8452.0,8736.0,8348.0,6941.0,7174.0,5890.0,5039.0,4862.0,4716.0,4524.0,5355.0,5728.0,6355.0,3987.0,4387.0
415.0,14274.0,10373.0,8705.0,8089.0,7662.0,7609.0,7606.0,8402.0,7346.0,7119.0,7057.0,6955.0,6735.0,6875.0,5375.0,4351.0,4151.0,3982.0,3997.0,4751.0,5060.0,5811.0,3433.0,3802.0
420.0,13137.0,9498.0,7785.0,7075.0,6664.0,6520.0,6478.0,7045.0,6350.0,5899.0,6001.0,5772.0,6325.0,6040.0,4938.0,3691.0,3555.0,3415.0,3518.0,4156.0,4537.0,5507.0,2998.0,3298.0
425.0,12497.0,8653.0,7158.0,6435.0,5713.0,5543.0,5473.0,6243.0,5203.0,4911.0,5266.0,4840.0,6269.0,5561.0,4770.0,3436.0,3259.0,3207.0,3063.0,3806.0,3988.0,5266.0,2584.0,2824.0
430.0,11953.0,8217.0,6429.0,5678.0,5085.0,4956.0,4978.0,5429.0,4588.0,4230.0,4464.0,4213.0,5964.0,5323.0,4486.0,3145.0,3035.0,2809.0,2783.0,3535.0,3802.0,5042.0,2393.0,2549.0
435.0,11470.0,7650.0,6043.0,5105.0,4566.0,4455.0,4370.0,4935.0,4003.0,3779.0,3807.0,3691.0,5969.0,5018.0,4337.0,3070.0,2783.0,2585.0,2557.0,3584.0,3549.0,4757.0,2113.0,2322.0
440.0,10845.0,7647.0,5802.0,4831.0,4165.0,4009.0,3989.0,4528.0,3634.0,3305.0,3461.0,3314.0,5823.0,4800.0,4388.0,2868.0,2727.0,2465.0,2457.0,3673.0,3298.0,4592.0,1959.0,2130.0
445.0,10342.0,7126.0,5361.0,4521.0,3896.0,3616.0,3616.0,4073.0,3262.0,2923.0,3123.0,2965.0,5816.0,4540.0,3924.0,2657.0,2430.0,2234.0,2193.0,3506.0,3130.0,4218.0,1789.0,1960.0
450.0,9965.0,6612.0,5066.0,4039.0,3538.0,3274.0,3188.0,3614.0,2912.0,2608.0,2748.0,2631.0,5492.0,4165.0,3770.0,2555.0,2205.0,2083.0,2014.0,2880.0,2684.0,3867.0,1629.0,1770.0
455.0,9057.0,6171.0,4619.0,3847.0,3207.0,2886.0,2813.0,3198.0,2539.0,2296.0,2454.0,2308.0,5204.0,3988.0,3370.0,2343.0,2091.0,1899.0,1813.0,2503.0,2391.0,3386.0,1461.0,1571.0
460.0,7973.0,5630.0,4376.0,3447.0,2930.0,2647.0,2503.0,2784.0,2267.0,2066.0,2144.0,2034.0,4842.0,3782.0,3211.0,2205.0,1964.0,1772.0,1632.0,2237.0,2133.0,3049.0,1319.0,1407.0
465.0,7385.0,5441.0,4076.0,3248.0,2687.0,2420.0,2328.0,2574.0,2068.0,1898.0,1949.0,1839.0,4703.0,3607.0,3038.0,2100.0,1813.0,1604.0,1486.0,1997.0,1989.0,2742.0,1255.0,1295.0
470.0,7375.0,5261.0,3957.0,3104.0,2554.0,2286.0,2160.0,2324.0,1945.0,1783.0,1842.0,1734.0,4554.0,3486.0,2931.0,2048.0,1710.0,1553.0,1482.0,1873.0,1831.0,2507.0,1193.0,1203.0
475.0,7077.0,5133.0,3890.0,2963.0,2446.0,2209.0,2076.0,2220.0,1832.0,1672.0,1733.0,1650.0,4487.0,3422.0,2874.0,2033.0,1691.0,1472.0,1406.0,1804.0,1703.0,2377.0,1163.0,1182.0
480.0,6664.0,4837.0,3660.0,2825.0,2290.0,2074.0,1926.0,2046.0,1737.0,1521.0,1626.0,1494.0,4275.0,3321.0,2715.0,1893.0,1621.0,1391.0,1294.0,1594.0,1628.0,2149.0,1079.0,1067.0
485.0,6152.0,4741.0,3510.0,2690.0,2174.0,1934.0,1857.0,1899.0,1549.0,1455.0,1518.0,1419.0,4172.0,3208.0,2572.0,1841.0,1500.0,1302.0,1243.0,1542.0,1454.0,2017.0,1004.0,1020.0
