wavelength (nm),A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12
405.0,15050.0,15182.0,15063.0,15170.0,14169.0,15343.0,13955.0,14436.0,13415.0,12880.0,13250.0,13891.0,7681.0,7096.0,13465.0,7210.0,7190.0,6423.0,6260.0,6538.0,6355.0,5870.0,5930.0,5762.0
410.0,13275.0,15784.0,13833.0,12851.0,11923.0,13591.0,11854.0,12448.0,11272.0,11030.0,11422.0,12258.0,7233.0,6501.0,15639.0,6335.0,6345.0,5566.0,5417.0,5503.0,5497.0,5098.0,5136.0,5005.0
415.0,11623.0,15048.0,11844.0,10921.0,10087.0,11750.0,10039.0,10518.0,9365.0,9308.0,9435.0,10395.0,6498.0,5756.0,17440.0,5420.0,5373.0,4690.0,4490.0,4615.0,4689.0,4194.0,4536.0,4200.0
420.0,10163.0,12427.0,9874.0,9243.0,8450.0,10270.0,8334.0,8958.0,7873.0,7726.0,7815.0,8974.0,5887.0,5082.0,18411.0,4699.0,4675.0,3923.0,3831.0,3871.0,4016.0,3597.0,3803.0,3570.0
425.0,8926.0,10734.0,8849.0,7851.0,7060.0,9008.0,7060.0,7482.0,6571.0,6484.0,6553.0,7768.0,5425.0,4724.0,18560.0,4120.0,4086.0,3398.0,3256.0,3348.0,3404.0,3067.0,3372.0,3018.0
430.0,8056.0,8973.0,7146.0,6811.0,6132.0,7979.0,6105.0,6499.0,5572.0,5534.0,5564.0,6889.0,5028.0,4290.0,18142.0,3619.0,3603.0,2980.0,2795.0,2880.0,2995.0,2665.0,2967.0,2628.0
435.0,7345.0,8248.0,6353.0,6050.0,5370.0,7246.0,5392.0,5664.0,4816.0,4852.0,4801.0,5973.0,4775.0,4024.0,18103.0,3260.0,3252.0,2636.0,2506.0,2516.0,2715.0,2367.0,2687.0,2355.0
440.0,6678.0,7148.0,5483.0,5366.0,4844.0,6524.0,4670.0,4975.0,4187.0,4293.0,4215.0,5442.0,4484.0,3859.0,17713.0,2987.0,2942.0,2374.0,2273.0,2309.0,2399.0,2138.0,2466.0,2142.0
445.0,6132.0,5977.0,4923.0,4778.0,4232.0,5847.0,4117.0,4443.0,3724.0,3789.0,3691.0,4836.0,4268.0,3617.0,16889.0,2792.0,2709.0,2114.0,2005.0,2058.0,2140.0,1971.0,2221.0,1971.0
450.0,5537.0,5345.0,4388.0,4279.0,3689.0,5107.0,3617.0,3879.0,3234.0,3311.0,3265.0,4219.0,3991.0,3380.0,15057.0,2467.0,2412.0,1888.0,1840.0,1843.0,1900.0,1742.0,1989.0,1735.0
455.0,5048.0,4658.0,3705.0,3746.0,3255.0,4435.0,3147.0,3366.0,2741.0,2868.0,2824.0,3790.0,3709.0,3123.0,13047.0,2272.0,2201.0,1705.0,1618.0,1657.0,1695.0,1557.0,1804.0,1508.0
460.0,4433.0,4047.0,3441.0,3342.0,2847.0,3963.0,2772.0,2968.0,2496.0,2545.0,2469.0,3254.0,3430.0,2894.0,11369.0,2055.0,1952.0,1531.0,1463.0,1466.0,1524.0,1414.0,1601.0,1404.0
465.0,4208.0,3772.0,3054.0,3055.0,2607.0,3499.0,2542.0,2632.0,2212.0,2269.0,2241.0,2902.0,3260.0,2753.0,10167.0,1871.0,1802.0,1446.0,1374.0,1332.0,1437.0,1304.0,1442.0,1281.0
470.0,3993.0,3622.0,2928.0,2812.0,2417.0,3210.0,2335.0,2468.0,2054.0,2102.0,2101.0,2715.0,3176.0,2677.0,9326.0,1813.0,1730.0,1356.0,1280.0,1240.0,1310.0,1223.0,1397.0,1206.0
475.0,3765.0,3416.0,2688.0,2675.0,2304.0,3030.0,2221.0,2335.0,1966.0,2008.0,1938.0,2497.0,3090.0,2642.0,8671.0,1732.0,1625.0,1269.0,1212.0,1177.0,1247.0,1173.0,1316.0,1149.0
480.0,3526.0,3009.0,2620.0,2461.0,2089.0,2741.0,2060.0,2129.0,1821.0,1814.0,1808.0,2276.0,2930.0,2488.0,7651.0,1625.0,1517.0,1189.0,1135.0,1147.0,1172.0,1092.0,1225.0,1087.0
485.0,3300.0,2951.0,2364.0,2288.0,2002.0,2457.0,1879.0,2003.0,1674.0,1716.0,1682.0,2105.0,2754.0,2424.0,6820.0,1561.0,1449.0,1122.0,1052.0,1036.0,1101.0,1041.0,1129.0,1030.0
490.0,3110.0,2798.0,2223.0,2088.0,1833.0,2229.0,1739.0,1818.0,1529.0,1555.0,1566.0,1934.0,2590.0,2238.0,5748.0,1432.0,1327.0,1053.0,982.0,1003.0,1015.0,961.0,1049.0,936.0
495.0,2907.0,2663.0,2109.0,1973.0,1709.0,2028.0,1590.0,1682.0,1435.0,1467.0,1446.0,1761.0,2558.0,2131.0,5053.0,1353.0,1233.0,1013.0,912.0,927.0,972.0,911.0,974.0,898.0
500.0,2681.0,2345.0,1960.0,1831.0,1613.0,1851.0,1488.0,1605.0,1360.0,1331.0,1338.0,1575.0,2354.0,2057.0,4402.0,1265.0,1166.0,924.0,852.0,876.0,890.0,848.0,905.0,842.0
505.0,2497.0,2219.0,1837.0,1708.0,1474.0,1689.0,1367.0,1457.0,1236.0,1263.0,1258.0,1469.0,2161.0,1917.0,3819.0,1198.0,1093.0,871.0,809.0,817.0,824.0,820.0,846.0,753.0
510.0,2356.0,2074.0,1732.0,1559.0,1388.0,1548.0,1258.0,1346.0,1169.0,1152.0,1161.0,1335.0,2100.0,1767.0,3449.0,1115.0,1023.0,815.0,743.0,751.0,786.0,738.0,779.0,742.0
515.0,2211.0,1930.0,1557.0,1466.0,1257.0,1431.0,1171.0,1248.0,1074.0,1066.0,1092.0,1237.0,1991.0,1684.0,2977.0,1047.0,936.0,766.0,716.0,708.0,727.0,696.0,728.0,717.0
520.0,2075.0,1810.0,1445.0,1382.0,1208.0,1282.0,1081.0,1174.0,996.0,1006.0,989.0,1136.0,1846.0,1604.0,2657.0,985.0,891.0,693.0,673.0,657.0,659.0,667.0,670.0,638.0
525.0,1934.0,1656.0,1373.0,1257.0,1117.0,1192.0,1020.0,1079.0,948.0,945.0,929.0,1022.0,1758.0,1500.0,2294.0,912.0,823.0,665.0,622.0,627.0,635.0,618.0,623.0,606.0
530.0,1819.0,1575.0,1278.0,1170.0,1032.0,1085.0,959.0,1025.0,885.0,848.0,882.0,964.0,1663.0,1421.0,2033.0,855.0,770.0,633.0,591.0,580.0,610.0,577.0,596.0,574.0
535.0,1677.0,1524.0,1217.0,1109.0,982.0,1019.0,902.0,944.0,836.0,841.0,847.0,904.0,1548.0,1354.0,1782.0,834.0,747.0,613.0,577.0,553.0,589.0,580.0,572.0,567.0
540.0,1623.0,1436.0,1189.0,1112.0,991.0,1023.0,931.0,972.0,860.0,859.0,874.0,913.0,1528.0,1325.0,1660.0,867.0,760.0,655.0,594.0,618.0,622.0,624.0,608.0,595.0
545.0,1652.0,1444.0,1199.0,1130.0,1046.0,1059.0,949.0,1000.0,913.0,900.0,913.0,954.0,1506.0,1324.0,1568.0,888.0,805.0,674.0,641.0,652.0,665.0,667.0,666.0,662.0
550.0,1615.0,1408.0,1236.0,1150.0,1059.0,1053.0,989.0,1056.0,986.0,956.0,956.0,983.0,1537.0,1320.0,1498.0,902.0,822.0,751.0,705.0,713.0,738.0,712.0,723.0,722.0
555.0,1630.0,1451.0,1256.0,1170.0,1095.0,1121.0,1047.0,1063.0,993.0,998.0,987.0,998.0,1517.0,1328.0,1463.0,928.0,869.0,788.0,748.0,799.0,788.0,743.0,775.0,767.0
560.0,1498.0,1363.0,1209.0,1125.0,1054.0,1052.0,1022.0,1025.0,963.0,950.0,976.0,993.0,1471.0,1314.0,1366.0,935.0,870.0,786.0,754.0,777.0,767.0,763.0,775.0,770.0
565.0,1408.0,1259.0,1091.0,1008.0,938.0,956.0,887.0,937.0,878.0,864.0,871.0,871.0,1354.0,1167.0,1190.0,833.0,769.0,691.0,671.0,699.0,689.0,691.0,684.0,679.0
570.0,1208.0,1063.0,937.0,855.0,825.0,812.0,762.0,808.0,742.0,739.0,747.0,753.0,1205.0,1044.0,1027.0,703.0,660.0,581.0,557.0,571.0,569.0,570.0,561.0,568.0
575.0,1090.0,913.0,777.0,746.0,677.0,661.0,630.0,662.0,595.0,604.0,596.0,601.0,1014.0,874.0,863.0,594.0,528.0,461.0,449.0,464.0,459.0,445.0,449.0,449.0
580.0,939.0,782.0,655.0,603.0,547.0,538.0,524.0,537.0,486.0,474.0,470.0,495.0,939.0,750.0,717.0,484.0,417.0,358.0,357.0,350.0,352.0,352.0,336.0,342.0
585.0,839.0,692.0,565.0,510.0,474.0,462.0,429.0,454.0,394.0,392.0,403.0,409.0,796.0,691.0,606.0,421.0,359.0,303.0,276.0,283.0,280.0,285.0,279.0,286.0
590.0,759.0,628.0,509.0,458.0,419.0,416.0,386.0,408.0,344.0,367.0,359.0,368.0,719.0,617.0,540.0,362.0,322.0,271.0,259.0,251.0,263.0,262.0,242.0,258.0
595.0,710.0,587.0,474.0,426.0,387.0,377.0,339.0,384.0,332.0,331.0,339.0,345.0,686.0,556.0,497.0,341.0,303.0,257.0,239.0,232.0,229.0,246.0,236.0,227.0
600.0,658.0,528.0,442.0,410.0,354.0,346.0,330.0,329.0,309.0,299.0,323.0,317.0,644.0,538.0,462.0,321.0,283.0,249.0,222.0,232.0,223.0,227.0,223.0,227.0
